Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2017,GLA Household Estimate 2017,Inland Area (Hectares),Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2015),Net international migration (2015),Net natural change (2015),% of resident population born abroad (2015),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2016),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Largest migrant population arrived during 2015/16,Second largest migrant population arrived during 2015/16,Third largest migrant population arrived during 2015/16,Employment rate (%) (2015),Male employment rate (2015),Female employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),% working-age with a disability (2015),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,"Gross Annual Pay, (2016)",Gross Annual Pay - Male (2016),Gross Annual Pay - Female (2016),Modelled Household median income estimates 2012/13,% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2014),% of employment that is in public sector (2014),"Jobs Density, 2015","Number of active businesses, 2015",Two-year business survival rates (started in 2013),Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2015","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2015/16 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2014/15","Average Public Transport Accessibility score, 2014","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2016),% of pupils whose first language is not English (2015),% children living in out-of-work households (2015),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
E09000001,E09000001,City of London,Inner London,8800.00,5325.82,290.39,30.30,43.20,11.40,73.10,15.50,-7.00,665.00,30.00,.,United States,2.78,France,1.99,Australia,1.86,27.47,17.14,975.00,152.22,India,France,United States,64.60,.,.,.,1.63,.,3.43,.,.,.,.,.,.,63620.00,.,500400.00,3.42,84.29,26130.00,64.30,.,12.28,.,799999.00,931.20,80.00,.,.,.,.,4.80,1036.11,34.40,1692.00,0.39,16.85,7.86,78.60,101.00,.,7.91,.,.,.,6.59,7.08,5.99,5.57,n/a,2.64,128.83,.,.,.,.,.
E09000002,E09000002,Barking and Dagenham,Outer London,209000.00,78188.38,3610.78,57.88,32.90,27.20,63.10,9.70,-1176.00,2509.00,2356.00,37.80,Nigeria,4.68,India,2.35,Pakistan,2.33,49.53,18.72,7538.00,59.14,Romania,Bulgaria,Lithuania,65.80,75.60,56.50,11.00,4.50,5.70,10.53,17.20,11.30,32.20,27886.00,30104.00,24602.00,29420.00,20.53,58900.00,21.10,0.48,6560.00,73.00,83.36,3.03,13.67,243500.00,1354.03,730.00,16.44,27.35,35.92,20.29,33.60,643.79,23.40,56966.00,0.82,8.78,2.97,58.00,69.00,41.67,18.72,77.60,82.10,32.40,7.14,7.60,7.05,3.05,28.54,7.27,227.60,Lab,0.00,100.00,0.00,36.50
E09000003,E09000003,Barnet,Outer London,389600.00,151422.96,8674.83,44.91,37.30,21.10,64.90,14.00,-3379.00,5407.00,2757.00,35.20,India,3.06,Poland,2.42,Iran,2.03,38.66,23.41,13094.00,53.11,Romania,Poland,Italy,68.50,74.50,62.90,8.50,1.94,2.50,6.20,14.90,5.20,49.00,33443.00,36475.00,31235.00,40530.00,33.18,167300.00,18.67,0.67,26190.00,73.80,62.74,1.62,11.11,445000.00,1397.07,1460.00,32.39,25.16,11.07,31.08,41.30,1415.11,38.00,144717.00,1.06,7.36,3.00,67.30,35.00,46.01,9.31,82.10,85.10,12.80,7.48,7.76,7.37,2.75,20.66,6.03,133.77,Cons,50.79,.,1.59,40.48
E09000004,E09000004,Bexley,Outer London,244300.00,97735.84,6058.07,40.33,39.00,20.60,62.90,16.60,413.00,760.00,1095.00,16.10,Nigeria,2.59,India,1.47,Ireland,0.91,21.41,6.03,2198.00,14.43,Romania,Poland,Nigeria,75.10,82.10,68.50,7.60,2.85,3.40,6.78,15.90,10.80,33.50,34350.00,37881.00,28924.00,36990.00,22.13,80700.00,15.88,0.56,9075.00,73.50,51.83,2.27,11.76,275000.00,1472.43,-130.00,38.09,35.32,15.21,11.38,31.70,974.62,54.00,108507.00,1.17,10.56,2.55,60.30,46.00,32.62,12.62,80.40,84.40,19.50,7.38,7.70,7.21,3.29,22.71,6.86,164.29,Cons,71.43,23.81,0.00,39.63
E09000005,E09000005,Brent,Outer London,332100.00,121048.27,4323.26,76.82,35.60,20.90,67.80,11.30,-7739.00,7640.00,3372.00,53.90,India,9.17,Poland,3.40,Ireland,2.85,64.86,37.15,22162.00,100.89,Romania,Italy,Portugal,69.50,76.00,62.60,7.50,3.08,2.60,8.26,17.70,6.20,45.10,29812.00,30129.00,29600.00,32140.00,17.26,133600.00,17.63,0.61,15745.00,74.40,78.80,1.82,12.08,407250.00,1377.24,1050.00,22.23,22.65,20.36,34.76,21.90,1175.07,35.20,87802.00,0.80,7.87,3.65,60.10,45.00,37.64,13.73,80.10,85.10,18.50,7.25,7.35,7.22,2.92,24.34,7.92,169.36,Lab,9.52,88.89,1.59,36.27
E09000006,E09000006,Bromley,Outer London,327900.00,140602.29,15013.49,21.84,40.20,19.90,62.60,17.50,1342.00,796.00,1445.00,18.30,India,1.12,Ireland,1.05,Nigeria,0.74,18.95,5.79,2924.00,14.37,Romania,Italy,Spain,75.30,80.40,70.40,5.30,2.54,4.30,6.01,15.90,4.30,46.70,37682.00,42026.00,32491.00,43060.00,28.97,127800.00,13.95,0.60,15695.00,78.60,64.13,2.33,11.24,374975.00,1347.27,700.00,37.77,34.92,13.17,14.15,57.80,1179.80,48.00,153908.00,1.18,12.98,2.78,68.00,40.00,38.94,10.23,81.40,84.90,16.70,7.54,7.86,7.44,3.26,16.00,5.24,148.50,Cons,85.00,11.67,0.00,40.83
E09000007,E09000007,Camden,Inner London,242500.00,107654.14,2178.93,111.29,36.40,17.30,71.00,11.70,-2917.00,7504.00,1618.00,41.40,United States,2.84,Bangladesh,2.70,Ireland,2.37,34.59,23.46,10384.00,60.70,Italy,France,Spain,69.20,72.20,66.10,4.00,3.63,4.40,8.53,21.30,6.10,61.10,39796.00,.,36632.00,43750.00,21.92,377400.00,12.39,2.23,31385.00,73.60,123.50,2.70,14.80,700000.00,1359.66,970.00,18.54,15.11,34.39,31.96,24.80,1288.32,26.30,46601.00,0.48,18.82,5.69,62.70,41.00,25.23,16.49,81.80,86.70,16.80,7.14,7.38,7.11,3.61,21.33,3.86,163.75,Lab,22.22,74.07,1.85,38.68
E09000008,E09000008,Croydon,Outer London,386500.00,159010.07,8650.36,44.68,37.00,22.00,64.90,13.00,-2605.00,2438.00,3164.00,29.40,India,3.64,Jamaica,2.54,Ghana,1.48,49.92,14.50,7946.00,32.28,Romania,Poland,Italy,75.40,81.80,69.50,4.10,4.80,3.30,7.78,17.50,7.00,40.60,32696.00,35839.00,29819.00,37000.00,27.19,141600.00,20.12,0.58,15540.00,75.30,77.04,2.23,12.80,300000.00,1494.13,2040.00,30.77,33.57,16.72,18.64,37.10,1237.29,39.90,140049.00,0.97,12.76,3.22,57.70,86.00,36.71,14.15,80.30,83.60,28.40,7.10,7.57,7.18,3.30,24.48,6.48,178.21,Lab,42.86,57.14,0.00,38.60
E09000009,E09000009,Ealing,Outer London,351600.00,132662.97,5554.43,63.30,36.20,21.40,66.80,11.80,-6473.00,4007.00,3404.00,47.40,India,7.63,Poland,6.35,Ireland,2.26,53.45,33.88,14927.00,65.15,Poland,Romania,Italy,72.70,81.20,63.80,5.80,2.96,3.00,7.90,15.20,9.10,49.70,31331.00,32185.00,29875.00,36070.00,32.08,160500.00,13.57,0.71,18700.00,75.80,75.48,1.89,11.32,430000.00,1335.93,720.00,20.12,30.24,14.28,34.97,30.90,1341.64,40.10,112845.00,0.91,15.04,3.30,62.10,46.00,43.61,13.13,80.60,84.20,17.80,7.29,7.57,7.26,3.57,23.82,6.92,163.54,Lab,17.39,76.81,5.80,41.18
E09000010,E09000010,Enfield,Outer London,333000.00,130327.74,8083.20,41.20,36.30,22.80,64.40,12.80,-2077.00,3164.00,2769.00,35.00,Turkey,4.47,Cyprus (Not otherwise specified),3.56,Poland,1.92,42.29,22.85,9259.00,43.76,Romania,Bulgaria,Poland,73.00,80.40,66.00,3.80,3.34,3.10,9.26,18.40,4.50,43.40,31603.00,35252.00,30222.00,33110.00,22.44,128800.00,21.65,0.62,13925.00,74.20,69.37,2.23,12.16,320000.00,1420.17,670.00,25.60,36.21,17.20,21.00,45.60,1245.04,38.50,119653.00,1.00,7.88,2.97,59.90,43.00,55.33,17.35,80.70,84.10,24.60,7.26,7.57,7.33,2.60,25.19,7.04,151.97,Lab,34.92,65.08,0.00,38.18
