LA Code,Local Authority,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,156,158,160,163,165,167,167,163,154,147,142,146,140,136,133,125,120,119,118,115,114,119,121,115,114,115,115,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,450,455,448,446,443,439,461,451,450,453,447,443,481,493,475,448,477,537,536,524,547,574,582,591,596,612,625,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000003,Barnet,"1,319","1,341","1,332","1,357","1,376","1,366","1,396","1,360","1,372","1,375","1,371","1,349","1,349","1,353","1,321","1,368","1,339","1,506","1,449","1,487","1,498","1,520","1,523","1,494","1,555","1,587","1,636","1,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000004,Bexley,729,739,730,750,758,763,775,794,803,794,792,818,815,782,766,757,763,850,848,857,851,880,899,919,944,970,"1,010",821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000005,Brent,774,783,773,795,792,811,828,827,816,829,813,815,806,781,756,709,699,754,729,739,729,758,749,773,790,829,866,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000006,Bromley,"1,087","1,087","1,081","1,100","1,107","1,115","1,120","1,115","1,133","1,122","1,112","1,108","1,090","1,072","1,038","1,021","1,012","1,020","1,037","1,053","1,073","1,108","1,127","1,126","1,151","1,187","1,249",994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000007,Camden,503,505,506,503,500,502,506,485,476,469,463,444,385,379,375,365,370,357,354,341,342,349,350,343,349,351,352,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000008,Croydon,"1,129","1,141","1,130","1,137","1,136","1,141","1,157","1,134","1,133","1,118","1,094","1,075","1,055","1,041","1,034",989,972,968,986,993,"1,016","1,047","1,062","1,069","1,098","1,157","1,204",978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000009,Ealing,"1,085","1,095","1,078","1,095","1,090","1,089","1,160","1,146","1,146","1,142","1,120","1,102","1,083","1,051",994,"1,007","1,013","1,002","1,000",971,"1,034","1,016","1,035","1,023","1,066","1,094","1,107",914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000010,Enfield,"1,158","1,183","1,183","1,204","1,224","1,219","1,244","1,248","1,198","1,212","1,242","1,240","1,212","1,258","1,241","1,181","1,207","1,386","1,297","1,369","1,327","1,393","1,442","1,436","1,458","1,496","1,532","1,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000011,Greenwich,886,898,890,887,896,901,919,907,903,915,912,936,922,890,872,844,844,841,872,858,858,878,897,886,924,961,992,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000012,Hackney,425,428,430,432,422,416,427,438,438,445,429,408,397,404,399,392,387,384,376,369,362,373,380,380,386,390,403,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,471,471,476,482,466,467,469,471,477,478,465,465,442,444,437,424,427,423,410,390,401,398,404,409,412,428,434,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
